lat,lon,image_id,color
6.435597026037867,3.50034417197455,,#FF0000
6.435695959332226,3.500981019406273,,#FF0000
6.435834931347475,3.501977627201233,,#FF0000
6.435979194995591,3.502992047363689,,#FF0000
6.43610539530276,3.5039183965075407,,#FF0000
6.436291159267659,3.50513720715812,,#FF0000
6.436408398078246,3.5059158007925557,,#FF0000
6.4364611090561175,3.5068270880451,,#FF0000
6.43652922943325,3.5063283800809333,,#FF0000
6.4366234259184445,3.5070531167969166,,#FF0000
6.4367517845515545,3.507944338032261,,#FF0000
6.436912013809585,3.509018237203634,,#FF0000
6.437033969840015,3.510037910266543,,#FF0000
6.437182521513295,3.5109952263304947,,#FF0000
6.437359300502969,3.5120308834364105,,#FF0000
6.43739885968095,3.512982878576175,,#FF0000
6.4374632934284,3.5136870961263003,,#FF0000
6.4375406968227,3.5131728629674996,,#FF0000
6.4376029342609,3.51397685315315,,#FF0000
6.437796046194642,3.515233015564243,,#FF0000
6.437899635196956,3.516058885253411,,#FF0000
6.4380697164574165,3.5170563496565994,,#FF0000
6.438191090493925,3.5179628952289,,#FF0000
6.4382971094490005,3.51889877678609,,#FF0000
6.438471115204866,3.5200914044502998,,#FF0000
6.438464681036199,3.5206778865476664,,#FF0000
6.4385574338657,3.5203031993451,,#FF0000
6.43867625349574,3.5209741256252203,,#FF0000
6.43877330432345,3.5220235465525085,,#FF0000
6.438904574449177,3.522936818164322,,#FF0000
6.439080605873386,3.523969694432043,,#FF0000
6.439193569163699,3.525009415297728,,#FF0000
6.439364731749828,3.525993649004414,,#FF0000
6.439517256579251,3.52630867197945,,#FF0000
6.439802652286476,3.527035702655675,,#FF0000
6.440227229562555,3.527951469260701,,#FF0000
6.440399435222967,3.5286896389682005,,#FF0000
6.440693663883013,3.5291515933610373,,#FF0000
6.440949160034626,3.529944677847072,,#FF0000
6.441308303960792,3.530904377271017,,#FF0000
6.442000270891011,3.530823723181633,,#FF0000
6.4417405949637,3.5319431385386,,#FF0000
6.442174148227882,3.5329929295929836,,#FF0000
6.442353979867351,3.5335867596734998,,#FF0000
6.4434870072789,3.5300543265427002,,#FF0000
6.443147874699643,3.5306827590610435,,#FF0000
6.4426750992448,3.534161107862125,,#FF0000
6.442899598009961,3.535104821627647,,#FF0000
6.4432982172707,3.5357890601760005,,#FF0000
6.443562906971989,3.52997304668136,,#FF0000
6.443508337604699,3.5306121482595,,#FF0000
6.443559794887332,3.536416122917933,,#FF0000
6.443890229560168,3.537035397630983,,#FF0000
6.4442897485722614,3.5379427233811596,,#FF0000
6.4445460249747,3.5381144217712,,#FF0000
6.4446958840725,3.5390924629619,,#FF0000
6.445117328071067,3.539781226540033,,#FF0000
6.4453850131628005,3.5410595504094,,#FF0000
6.446290975100234,3.3952328046579496,,#FF0000
6.445989528929423,3.3957680402376775,,#FF0000
6.446204964136676,3.3971427574897497,,#FF0000
6.446083113545035,3.3977797946688724,,#FF0000
6.44643253130895,3.398994140229,,#FF0000
6.446302720462666,3.4540493666661334,,#FF0000
6.4465691981204,3.3950630914481,,#FF0000
6.446968961721099,3.3961988605214746,,#FF0000
6.446788601742166,3.3968415397602,,#FF0000
6.446747946099211,3.398288127186545,,#FF0000
6.44676736357666,3.3989868636339526,,#FF0000
6.446716365010084,3.3998058224222336,,#FF0000
6.44745360000046,3.45392148001172,,#FF0000
6.4483109526136,3.39636524720575,,#FF0000
6.44824541425169,3.3967204794791,,#FF0000
6.448293021494107,3.398255425963879,,#FF0000
